Program Time [s],data 0,data 1,data 2
18.2172,-475,-304,-193
18.2866,-474,-303,-192
18.356,-473,-305,-192
18.4254,-474,-304,-192
18.495,-475,-302,-193
18.5642,-474,-304,-192
18.6337,-475,-305,-192
18.7031,-473,-305,-193
18.7725,-473,-303,-192
18.8419,-474,-304,-192
18.9114,-474,-302,-193
18.9808,-474,-303,-193
19.0502,-475,-303,-193
19.1197,-474,-303,-193
19.1891,-473,-304,-192
19.2586,-473,-304,-193
19.328,-474,-303,-193
19.3974,-475,-304,-193
19.4673,-474,-305,-192
19.5367,-474,-303,-193
19.6061,-473,-303,-193
19.6755,-474,-303,-192
19.745,-474,-304,-193
19.8144,-474,-304,-193
19.8838,-475,-304,-192
19.9532,-475,-303,-194
20.0226,-473,-304,-191
20.092,-473,-303,-192
20.1614,-475,-303,-193
20.2308,-474,-304,-193
20.3002,-474,-303,-193
20.3699,-474,-304,-193
20.4391,-473,-303,-193
20.5086,-474,-303,-194
20.5783,-476,-302,-192
20.6474,-476,-301,-193
20.7168,-476,-302,-193
20.7862,-476,-302,-193
20.8557,-474,-302,-193
20.9251,-475,-300,-193
20.9946,-474,-302,-193
21.0641,-476,-301,-193
21.1334,-474,-301,-192
21.2028,-473,-303,-192
21.2724,-460,-301,-217
21.3419,-469,-297,-209
21.4112,-442,-293,-260
21.4807,-432,-284,-284
21.5504,-424,-270,-306
21.6195,-417,-245,-328
21.6889,-418,-222,-337
21.7584,-402,-121,-371
21.8279,-368,-59,-392
21.8973,-307,-44,-423
21.9671,-245,-63,-436
22.0366,-215,-125,-424
22.106,-189,-198,-405
22.1754,-183,-265,-380
22.2448,-171,-301,-366
22.3142,-177,-325,-354
22.3837,-171,-341,-349
22.4531,-163,-339,-353
22.5225,-154,-341,-355
22.592,-143,-337,-360
22.6614,-123,-339,-364
22.7308,-104,-346,-361
22.8002,-84,-363,-349
22.8697,-66,-378,-336
22.9391,-46,-392,-327
23.0085,-27,-396,-322
23.0781,-13,-398,-319
23.1476,-13,-406,-316
23.217,8,-393,-323
23.2866,29,-362,-339
23.3559,62,-334,-347
23.4258,93,-312,-347
23.4952,126,-261,-355
23.5646,160,-212,-353
23.634,193,-159,-346
23.7035,227,-122,-329
23.7728,259,-99,-309
23.8422,256,-85,-312
23.9117,312,-58,-269
23.9811,356,-51,-232
24.0509,395,-55,-191
24.12,430,-67,-149
24.1894,460,-62,-101
24.2587,486,-61,-59
24.3281,500,-50,-29
24.3975,498,-26,-34
24.4669,474,14,-73
24.5364,418,54,-150
24.6058,360,90,-203
24.6751,312,136,-232
24.7446,260,155,-263
24.8144,226,176,-277
24.8835,210,200,-276
24.9529,221,238,-248
25.0222,269,286,-170
25.0916,320,322,-76
25.161,368,337,40
25.2304,408,322,151
25.3004,429,293,238
25.3692,429,247,338
25.4386,404,227,392
25.508,384,199,436
25.5775,394,165,451
25.647,429,144,435
25.7162,407,116,465
25.7857,403,114,470
25.8555,322,105,516
25.9244,254,91,540
25.9939,198,90,548
26.0632,124,86,549
26.1326,26,86,534
26.202,-63,102,501
26.2715,-161,120,448
26.3409,-246,134,379
26.4103,-312,147,305
26.4796,-370,133,239
26.549,-404,140,176
26.6188,-428,139,119
26.688,-448,131,55
26.7572,-464,102,-1
26.8266,-473,75,-63
26.896,-480,13,-123
26.9654,-471,-87,-197
27.0348,-445,-188,-209
27.1042,-434,-255,-176
27.1737,-434,-296,-86
27.2431,-405,-351,-17
27.3125,-349,-389,106
27.3818,-279,-394,226
27.4515,-168,-378,344
27.5206,-48,-391,397
27.59,150,-356,457
27.6595,278,-250,494
27.7288,358,-142,498
27.7982,442,4,445
27.8677,491,125,326
27.937,448,253,112
28.0065,309,310,-85
28.0758,138,344,-176
28.1452,49,336,-217
28.2149,-77,277,-290
28.2841,-232,174,-329
28.3536,-370,56,-297
28.4229,-443,-28,-224
28.4924,-471,-10,-144
28.5619,-479,-4,-85
28.6312,-489,-64,-75
28.7006,-481,-8,-115
28.77,-478,-89,-151
28.8395,-462,-223,-119
28.9089,-381,-388,-6
28.9782,-289,-480,-3
29.0477,-213,-525,42
29.1171,-121,-563,63
29.1867,-80,-572,47
29.2559,12,-585,48
29.3254,137,-573,97
29.3947,177,-557,137
29.4644,222,-536,174
29.5335,271,-514,188
29.6031,326,-486,171
29.6724,400,-429,164
29.7417,482,-331,151
29.8111,534,-205,138
29.8806,528,-40,10
29.9503,460,146,-29
30.0194,319,284,-98
30.0888,220,346,-106
30.1581,146,368,-127
30.2276,99,367,-152
30.2969,54,335,-213
30.3664,-13,336,-225
30.4361,-23,352,-201
30.5052,-33,344,-215
30.5746,-16,359,-198
30.6439,-47,377,-166
30.7134,-92,384,-146
30.783,-161,375,-136
30.8524,-186,362,-144
30.9218,-184,347,-175
30.9912,-133,356,-182
31.0606,-46,384,-154
31.1302,62,390,-129
31.1997,203,372,-70
31.2688,287,296,-105
31.3382,299,213,-178
31.4076,99,126,-344
31.477,-132,-7,-407
31.5465,-176,32,-393
31.6159,-225,181,-312
31.6852,-268,264,-212
31.7547,-320,242,-189
31.8241,-359,204,-175
31.8935,-381,186,-158
31.963,-420,156,-95
32.0324,-382,183,-174
32.1018,-355,226,-163
32.1714,-318,279,-134
32.2406,-354,252,-115
32.31,-435,149,-81
32.3795,-482,27,-67
32.4488,-492,-52,-90
32.5182,-493,-110,-95
32.5877,-483,-54,-174
32.657,-458,64,-184
32.7264,-435,136,-173
32.7958,-430,112,-214
32.8652,-444,11,-240
32.9347,-437,-116,-257
33.0041,-385,-244,-267
33.0735,-279,-359,-278
33.1428,-106,-378,-321
33.2122,17,-192,-391
33.2816,-171,124,-346
33.351,-260,267,-168
33.4204,-269,251,-169
33.4898,-238,269,-173
33.5593,-139,302,-194
33.6286,47,353,-145
33.698,139,346,-112
33.7677,77,342,-151
33.8369,-99,298,-220
33.9062,-271,192,-250
33.9756,-344,77,-265
34.045,-319,37,-312
34.1145,-312,52,-317
34.1843,-332,-14,-330
34.2532,-346,-147,-326
34.3227,-324,-289,-285
34.3921,-232,-412,-240
34.4615,-129,-497,-166
34.531,-26,-540,-83
34.6003,47,-548,-40
34.6697,131,-541,8
34.7391,205,-520,58
34.8084,279,-483,71
34.8778,380,-394,55
34.9472,459,-265,28
35.0167,510,-83,50
35.0859,502,59,59
35.1556,468,108,-4
35.2248,431,157,-40
35.2941,391,242,-13
35.3636,314,314,-33
35.4329,201,393,-25
35.5024,62,437,-14
35.5719,-75,441,16
35.6411,-161,422,61
35.7106,-206,395,110
35.7803,-224,373,160
35.8494,-241,364,160
35.9188,-222,379,159
35.9881,-210,394,128
36.0575,-201,396,137
36.1269,-189,379,200
36.1964,-194,365,217
36.2658,-196,343,256
36.3355,-163,309,327
36.4045,-109,256,385
36.4738,-63,212,436
36.5432,-55,171,460
36.6127,-18,169,480
36.682,14,186,481
36.7514,-1,169,486
36.8208,27,157,497
36.8901,95,157,509
36.9597,158,149,515
37.029,220,155,506
37.0984,287,209,461
37.1679,263,291,406
37.2371,223,377,314
37.3065,89,438,233
37.3759,-33,450,160
37.4455,-131,430,116
37.5148,-244,383,33
37.5841,-349,304,-46
37.6539,-426,195,-34
37.7229,-456,137,-54
37.7924,-429,169,-143
37.8618,-457,137,-89
37.9311,-449,80,-194
38.0006,-424,10,-277
38.07,-396,-84,-318
38.1394,-359,-173,-335
38.2088,-358,-253,-300
38.2782,-368,-326,-230
38.3476,-368,-377,-146
38.417,-354,-414,-52
38.4866,-313,-443,42
38.5558,-285,-455,81
38.6252,-289,-411,173
38.6946,-270,-321,294
38.7641,-302,-230,318
38.8336,-283,-139,368
38.9029,-230,-23,418
38.9724,-139,121,448
39.0417,-101,193,436
39.1111,-90,222,426
39.1805,-63,245,425
39.2499,-55,252,425
39.3193,-74,249,419
39.3887,-71,234,431
39.4581,-29,214,455
39.5275,-49,106,491
39.5969,-159,-97,458
39.6662,-269,-286,316
39.736,-307,-407,141
39.8054,-210,-510,41
39.8748,-67,-555,51
39.9442,83,-556,113
40.0136,205,-513,191
40.083,320,-435,256
40.1525,399,-349,292
40.2218,467,-220,322
40.2912,510,-91,298
40.3606,504,36,297
40.4304,495,140,188
40.4996,456,212,102
40.5688,415,260,46
40.6381,378,281,-11
40.7076,300,322,-79
40.777,271,302,-141
40.8464,246,278,-189
40.9161,290,255,-172
40.9852,346,254,-111
41.0546,370,232,-100
41.124,429,197,-38
41.1934,468,105,-44
41.2628,499,-49,-33
41.3322,458,-214,-66
41.4017,432,-324,-16
41.4714,395,-402,50
41.5404,346,-454,111
41.6099,284,-492,133
41.6792,209,-523,155
41.7486,149,-530,190
41.818,101,-521,233
41.8874,41,-508,261
41.9569,-28,-475,294
42.0262,-89,-401,349
42.0956,-173,-323,363
42.165,-223,-244,372
42.2346,-257,-133,381
42.3039,-243,-37,398
42.3732,-273,27,367
42.4426,-326,87,302
42.5122,-363,106,252
42.5815,-362,76,271
42.6509,-257,34,379
42.7202,-264,-108,384
42.7896,-157,-177,452
42.859,-12,-197,510
42.9285,72,-194,528
