Program Time [s],data 0,data 1,data 2
62.8014,-434,-6,-138
62.8804,-436,-4,-137
62.9594,-438,-4,-138
63.0386,-436,-5,-137
63.1174,-435,-4,-137
63.1964,-437,-4,-138
63.2754,-437,-3,-138
63.3549,-436,-3,-138
63.4334,-436,-4,-138
63.5124,-436,-4,-138
63.5914,-438,-3,-138
63.6704,-435,-4,-137
63.7494,-434,-3,-138
63.8284,-436,-3,-138
63.9074,-437,-4,-138
63.9864,-436,-3,-138
64.0654,-436,-3,-138
64.1444,-437,-3,-139
64.2234,-436,-4,-137
64.3024,-436,-7,-139
64.3814,-436,-9,-139
64.4604,-436,-6,-138
64.5394,-436,4,-136
64.6184,-437,10,-135
64.6974,-436,20,-132
64.7764,-437,27,-131
64.8559,-436,29,-130
64.935,-437,31,-130
65.0134,-438,33,-129
65.0925,-439,47,-125
65.1716,-435,58,-120
65.2504,-438,60,-120
65.3293,-438,60,-120
65.4087,-440,65,-119
65.4874,-440,71,-118
65.5664,-438,67,-116
65.6454,-483,82,-77
65.7245,-438,80,-115
65.8034,-438,90,-111
65.8824,-439,97,-109
65.9614,-446,107,-106
66.0404,-448,115,-102
66.1194,-443,114,-98
66.1985,-446,127,-89
66.2774,-449,140,-81
66.3567,-451,153,-70
66.4358,-458,164,-64
66.5144,-462,171,-58
66.5934,-457,171,-47
66.6725,-461,183,-32
66.7514,-465,188,-21
66.8304,-465,189,-16
66.9094,-469,191,-10
66.9889,-465,185,11
67.068,-469,188,16
67.1463,-457,178,18
67.2253,-463,190,17
67.3046,-464,191,15
67.3834,-457,180,16
67.4623,-459,184,15
67.5413,-462,188,15
67.6206,-459,185,15
67.6991,-464,192,15
67.778,-466,193,16
67.8569,-466,192,16
67.936,-465,192,13
68.0148,-465,192,4
68.0937,-467,195,-1
68.1726,-461,190,-2
68.2519,-465,194,-2
68.3305,-468,193,-1
68.4094,-466,192,1
68.4886,-464,189,3
68.5674,-470,201,3
68.6464,-449,175,6
68.7253,-452,177,6
68.8046,-454,180,7
68.8833,-460,183,10
68.9623,-462,181,15
69.0413,-458,177,25
69.1205,-464,174,35
69.1993,-472,175,46
69.2782,-471,165,54
69.3573,-472,157,63
69.4365,-475,147,74
69.515,-474,136,85
69.5939,-476,116,99
69.6729,-475,92,111
69.7518,-479,76,120
69.8307,-480,62,128
69.9096,-478,55,128
69.9885,-480,53,130
70.0675,-481,47,130
70.1463,-482,43,132
70.2253,-483,36,135
70.3045,-480,28,136
70.3834,-482,24,137
70.4623,-482,16,138
70.5413,-479,6,140
70.6204,-481,-3,143
70.6994,-481,-21,143
70.7783,-482,-37,144
70.8573,-482,-42,145
70.9363,-481,-46,145
71.0153,-482,-51,145
71.0943,-481,-68,146
71.1733,-480,-80,146
71.2523,-480,-95,145
71.3313,-483,-117,143
71.4104,-476,-148,138
71.4894,-478,-162,136
71.5686,-479,-173,132
71.6473,-478,-192,126
71.7264,-475,-213,119
71.8053,-473,-229,114
71.8844,-475,-246,104
71.9633,-469,-267,93
