x0000,y0000,x0001,y0001,x0002,y0002
486,-129,486,-312,486,230,
487,-128,487,-312,487,230,
488,-130,488,-312,488,229,
489,-130,489,-312,489,230,
490,-130,490,-313,490,230,
491,-131,491,-313,491,230,
492,-131,492,-312,492,228,
493,-130,493,-314,493,229,
494,-130,494,-313,494,231,
495,-130,495,-312,495,230,
496,-129,496,-313,496,230,
497,-130,497,-312,497,230,
498,-130,498,-312,498,230,
499,-131,499,-312,499,229,
500,-129,500,-312,500,231,
501,-130,501,-312,501,231,
502,-131,502,-312,502,230,
503,-130,503,-310,503,230,
504,-130,504,-311,504,232,
505,-130,505,-310,505,232,
506,-130,506,-310,506,230,
507,-129,507,-310,507,230,
508,-130,508,-311,508,231,
509,-129,509,-311,509,230,
510,-130,510,-309,510,231,
511,-129,511,-311,511,231,
512,-131,512,-311,512,231,
513,-130,513,-310,513,230,
514,-129,514,-310,514,231,
515,-130,515,-310,515,231,
516,-129,516,-311,516,231,
517,-129,517,-310,517,232,
518,-129,518,-310,518,231,
519,-130,519,-309,519,230,
520,-129,520,-311,520,230,
521,-130,521,-309,521,231,
522,-131,522,-310,522,230,
523,-130,523,-311,523,230,
524,-130,524,-309,524,231,
525,-130,525,-310,525,231,
526,-130,526,-309,526,231,
527,-130,527,-309,527,231,
528,-130,528,-309,528,230,
529,-130,529,-310,529,232,
530,-130,530,-310,530,231,
531,-130,531,-310,531,231,
532,-130,532,-310,532,231,
533,-128,533,-310,533,231,
534,-129,534,-310,534,230,
535,-130,535,-310,535,230,
536,-130,536,-310,536,230,
537,-131,537,-308,537,231,
538,-128,538,-310,538,231,
539,-130,539,-309,539,231,
540,-129,540,-309,540,232,
541,-131,541,-309,541,230,
542,-130,542,-310,542,232,
543,-129,543,-310,543,231,
544,-129,544,-310,544,231,
545,-131,545,-310,545,229,
546,-130,546,-310,546,231,
547,-130,547,-310,547,232,
548,-130,548,-310,548,231,
549,-129,549,-309,549,231,
550,-130,550,-310,550,230,
551,-129,551,-309,551,230,
552,-129,552,-309,552,231,
553,-128,553,-309,553,231,
554,-130,554,-308,554,231,
555,-130,555,-310,555,231,
556,-130,556,-309,556,232,
557,-129,557,-309,557,231,
558,-129,558,-309,558,231,
559,-129,559,-309,559,232,
560,-129,560,-310,560,231,
561,-129,561,-309,561,231,
562,-128,562,-309,562,231,
563,-130,563,-309,563,231,
564,-129,564,-310,564,230,
565,-130,565,-311,565,231,
566,-129,566,-309,566,230,
567,-129,567,-310,567,231,
568,-131,568,-308,568,231,
569,-130,569,-309,569,231,
570,-130,570,-310,570,230,
571,-130,571,-310,571,231,
572,-130,572,-309,572,232,
573,-130,573,-309,573,231,
574,-130,574,-309,574,232,
575,-129,575,-310,575,231,
576,-129,576,-310,576,229,
577,-129,577,-308,577,230,
578,-130,578,-309,578,230,
579,-130,579,-309,579,230,
580,-130,580,-310,580,231,
581,-130,581,-309,581,231,
582,-129,582,-310,582,231,
583,-130,583,-309,583,230,
584,-130,584,-310,584,230,
585,-129,585,-310,585,231,
586,-130,586,-311,586,230,
587,-129,587,-310,587,231,
588,-129,588,-310,588,232,
589,-129,589,-310,589,232,
590,-130,590,-309,590,231,
591,-129,591,-308,591,232,
592,-129,592,-309,592,230,
593,-130,593,-310,593,231,
594,-129,594,-311,594,230,
595,-129,595,-310,595,231,
596,-130,596,-310,596,231,
597,-130,597,-309,597,231,
598,-128,598,-311,598,231,
599,-130,599,-310,599,231,
600,-128,600,-314,600,231,
601,-130,601,-321,601,226,
602,-131,602,-349,602,218,
603,-129,603,-355,603,218,
604,-131,604,-358,604,215,
605,-130,605,-366,605,213,
606,-130,606,-372,606,209,
607,-129,607,-421,607,186,
608,-129,608,-475,608,147,
609,-126,609,-495,609,129,
610,-125,610,-511,610,111,
