Program Time [s],data 0,data 1,data 2
24.1982,-542,-228,-159
24.2772,-542,-227,-160
24.3566,-540,-227,-159
24.4352,-542,-227,-160
24.5142,-543,-227,-160
24.5932,-541,-227,-159
24.6722,-541,-227,-160
24.7512,-541,-226,-159
24.8301,-542,-227,-160
24.9092,-542,-227,-159
24.9882,-540,-228,-159
25.0671,-542,-228,-158
25.1461,-542,-226,-158
25.2252,-541,-227,-158
25.3041,-539,-228,-159
25.3831,-541,-226,-158
25.4621,-541,-226,-159
25.5412,-541,-227,-159
25.6201,-540,-227,-158
25.6991,-542,-227,-160
25.7781,-542,-227,-159
25.8574,-541,-227,-160
25.9361,-540,-227,-158
26.0151,-542,-227,-159
26.0941,-542,-227,-159
26.1733,-540,-227,-159
26.2521,-540,-228,-159
26.3311,-542,-227,-159
26.4101,-540,-226,-159
26.4894,-541,-227,-158
26.5681,-539,-228,-160
26.6471,-542,-227,-158
26.7261,-541,-227,-158
26.8053,-542,-227,-159
26.8841,-542,-228,-159
26.9632,-540,-228,-159
27.0421,-541,-227,-160
27.1211,-540,-227,-160
27.2001,-541,-227,-159
27.2791,-542,-227,-159
27.3581,-539,-227,-159
27.4371,-540,-227,-159
27.5161,-541,-227,-158
27.5951,-541,-227,-159
27.6741,-540,-227,-159
27.7531,-540,-227,-159
27.8321,-542,-227,-159
27.9111,-542,-226,-159
27.9901,-539,-227,-158
28.0691,-540,-227,-159
28.1481,-541,-226,-159
28.2271,-541,-227,-159
28.3061,-540,-227,-159
28.3851,-515,-255,-159
28.4642,-541,-229,-159
28.5431,-536,-241,-153
28.6221,-522,-263,-147
28.701,-522,-273,-131
28.7801,-522,-283,-112
28.8591,-533,-274,-100
28.938,-530,-281,-89
29.017,-525,-288,-75
29.0961,-525,-290,-60
29.1751,-524,-291,-50
29.254,-525,-292,-36
29.333,-525,-292,-28
29.4124,-526,-292,-15
29.491,-523,-294,-5
29.57,-523,-290,2
29.649,-523,-290,9
29.728,-522,-290,16
29.807,-521,-290,22
29.8859,-520,-288,27
29.9649,-522,-287,33
30.044,-522,-286,37
30.1229,-521,-284,46
30.2019,-520,-281,53
30.2812,-522,-278,61
30.3599,-522,-276,66
30.4388,-521,-273,72
30.5178,-523,-270,78
30.5968,-524,-268,83
30.6758,-523,-263,86
30.7548,-523,-262,89
30.8338,-523,-261,91
30.9129,-523,-258,95
30.9919,-525,-252,99
31.0714,-524,-248,105
31.1498,-524,-243,112
31.2291,-525,-238,119
31.3079,-524,-229,129
31.3871,-523,-221,138
31.4658,-523,-211,145
31.5453,-527,-196,112
31.6238,-519,-188,107
31.7028,-529,-168,112
31.7818,-531,-153,117
31.8609,-530,-138,124
31.9399,-531,-116,127
32.0188,-529,-100,134
32.0978,-528,-89,140
32.1777,-528,-78,142
32.2559,-525,-70,146
32.3348,-526,-58,148
32.4138,-528,-44,149
32.4929,-527,-38,149
32.5719,-524,-36,150
32.6516,-526,-31,148
32.7298,-519,-33,143
32.8089,-522,-23,142
32.8879,-522,-15,140
32.9668,-523,-9,141
33.0458,-527,4,141
33.1248,-522,8,144
33.2038,-523,15,145
33.2828,-524,24,141
33.3618,-527,33,139
33.4408,-524,44,136
33.5198,-524,52,134
33.5988,-525,63,130
33.6778,-525,74,125
33.7568,-520,82,124
33.8358,-517,90,121
33.9149,-520,102,115
33.9938,-518,110,109
