Program Time [s],data 0,data 1,data 2
18.4791,-486,129,-169
18.5578,-486,129,-170
18.6368,-486,131,-169
18.7157,-485,130,-169
18.7952,-486,130,-170
18.8737,-486,130,-170
18.9527,-485,129,-168
19.0317,-485,129,-169
19.1109,-486,130,-169
19.1897,-486,130,-169
19.2687,-486,130,-169
19.3477,-486,130,-169
19.4272,-486,129,-170
19.5057,-486,130,-168
19.5847,-486,129,-170
19.6637,-487,130,-169
19.7429,-486,131,-169
19.8218,-486,130,-170
19.9007,-481,124,-169
19.9797,-489,135,-166
20.059,-492,135,-168
20.1378,-482,126,-170
20.2167,-479,124,-175
20.2957,-480,119,-188
20.3748,-484,118,-191
20.4537,-484,113,-200
20.5327,-480,106,-202
20.6117,-483,105,-210
20.6909,-481,97,-214
20.7697,-478,88,-223
20.8487,-478,83,-229
20.9278,-480,81,-232
21.007,-480,72,-237
21.0857,-474,64,-242
21.1647,-474,59,-245
21.2437,-478,56,-249
21.3227,-486,57,-252
21.4017,-484,51,-256
21.4807,-484,47,-258
21.5597,-488,41,-255
21.6387,-488,31,-260
21.7177,-488,27,-252
21.7967,-501,27,-238
21.8757,-507,24,-231
21.9547,-512,23,-223
22.0337,-514,18,-220
22.1127,-514,12,-222
22.1919,-513,6,-222
22.2709,-516,0,-220
22.3497,-513,-4,-222
22.4287,-513,-13,-225
22.5083,-511,-17,-226
22.5872,-506,-28,-227
22.6657,-507,-27,-228
22.7447,-507,-32,-228
22.8237,-507,-39,-228
22.9029,-507,-42,-229
22.9818,-507,-47,-230
23.0607,-507,-50,-231
23.14,-508,-54,-230
23.2189,-506,-61,-230
23.2977,-506,-67,-230
23.3767,-506,-70,-231
23.456,-505,-75,-231
23.5348,-505,-81,-230
23.6137,-504,-83,-230
23.6927,-506,-83,-230
23.772,-507,-85,-230
23.8507,-505,-89,-230
23.9297,-503,-98,-228
24.0087,-504,-105,-228
24.0883,-504,-108,-228
24.1667,-504,-110,-228
24.2457,-502,-117,-226
24.3247,-503,-124,-224
24.4041,-504,-126,-224
24.4827,-498,-135,-223
24.5617,-497,-138,-222
24.6407,-492,-150,-221
24.7201,-494,-154,-218
24.7987,-492,-160,-217
24.8777,-492,-165,-216
24.9567,-492,-172,-213
25.0361,-490,-180,-209
25.1147,-492,-183,-207
25.1937,-491,-190,-203
25.2727,-492,-195,-201
25.352,-491,-197,-199
25.4307,-487,-202,-198
25.5098,-489,-201,-196
25.5887,-491,-203,-195
25.6683,-489,-210,-189
25.7467,-491,-216,-185
25.8257,-490,-221,-182
25.9047,-486,-231,-177
25.9837,-481,-241,-172
26.0627,-480,-244,-166
26.1417,-484,-243,-165
26.2207,-485,-242,-166
26.2997,-485,-242,-164
26.3787,-486,-243,-163
26.458,-487,-243,-162
26.5367,-483,-247,-162
26.6157,-485,-246,-162
26.6954,-481,-253,-158
26.7737,-483,-259,-151
26.8527,-482,-264,-143
26.9317,-481,-268,-138
27.0107,-478,-270,-136
27.0901,-477,-275,-133
27.1687,-481,-273,-130
27.2492,-480,-277,-122
27.3267,-479,-281,-115
27.4057,-478,-283,-110
27.4847,-485,-281,-106
27.5637,-481,-283,-100
27.6432,-483,-285,-96
27.7217,-482,-288,-89
27.8007,-481,-290,-82
27.8797,-479,-291,-76
27.959,-479,-293,-71
28.0377,-480,-294,-66
28.1167,-478,-296,-59
28.1957,-477,-297,-54
28.2754,-477,-297,-49
28.3537,-477,-298,-45
28.4327,-476,-299,-43
28.5118,-473,-300,-52
28.5907,-461,-304,-94
28.6697,-460,-305,-91
28.7503,-452,-311,-97
28.8283,-456,-308,-98
28.9068,-456,-310,-90
28.9857,-459,-309,-82
29.0675,-458,-308,-75
29.144,-459,-307,-63
29.2233,-463,-307,-52
29.3023,-463,-306,-45
29.3836,-463,-305,-38
29.46,-464,-302,-31
29.5387,-465,-300,-20
29.6179,-466,-298,-13
29.7005,-465,-296,-5
29.7761,-466,-294,-2
29.8555,-466,-293,-1
29.9337,-468,-291,4
30.0127,-467,-288,10
30.0917,-467,-285,15
30.1707,-470,-282,21
30.2497,-469,-277,27
30.3287,-469,-275,29
30.408,-468,-275,30
30.4867,-470,-273,32
30.5676,-469,-273,33
30.6447,-469,-273,33
30.724,-469,-270,34
30.803,-472,-268,30
30.8828,-476,-261,39
30.9607,-475,-253,66
31.0397,-477,-243,85
31.1196,-476,-235,93
31.2017,-479,-217,104
31.2767,-481,-208,113
31.3562,-484,-196,119
31.4354,-472,-196,127
31.5156,-477,-183,132
31.5927,-478,-169,137
31.672,-473,-165,142
31.7524,-479,-155,145
31.8297,-477,-145,150
31.9087,-478,-138,152
31.9876,-476,-129,155
32.0678,-477,-117,158
32.1457,-466,-116,161
32.2247,-465,-108,163
32.3036,-473,-88,164
32.3826,-473,-77,164
32.4617,-477,-61,165
32.5407,-476,-53,166
32.6198,-474,-45,164
32.6998,-472,-31,161
32.7777,-473,-21,161
32.8566,-474,-10,159
32.9356,-476,0,157
33.0183,-476,10,153
33.0937,-472,16,151
33.1726,-468,12,148
33.2531,-464,18,145
33.3333,-483,49,141
33.4096,-485,58,139
33.4886,-480,53,139
33.5687,-473,43,139
33.6466,-496,70,141
33.7257,-504,85,140
33.8046,-504,91,135
33.8851,-473,65,127
33.9626,-476,70,127
34.0417,-478,72,125
34.1213,-487,90,119
34.2027,-484,87,117
34.2789,-481,86,117
34.3576,-488,94,117
34.4369,-484,87,115
34.5173,-487,87,118
34.5949,-481,77,120
34.674,-479,72,122
34.7546,-482,80,118
34.8336,-479,77,91
34.9107,-477,78,87
34.9896,-475,79,86
35.0686,-477,82,84
35.1556,-476,81,81
35.2266,-475,82,76
35.3056,-479,80,80
35.3846,-485,79,86
35.4656,-483,68,102
35.5427,-484,67,102
35.6217,-457,53,92
35.7007,-470,72,84
35.7796,-480,97,72
