Program Time [s],data 0,data 1,data 2
4.83072,-545,114,-182
4.90974,-544,113,-181
4.98842,-545,114,-181
5.06742,-545,113,-182
5.1464,-544,114,-182
5.22541,-545,112,-183
5.30445,-546,110,-183
5.38335,-546,111,-182
5.46237,-543,111,-183
5.54145,-544,112,-182
5.62037,-546,112,-183
5.69938,-547,111,-183
5.77857,-544,112,-182
5.85766,-546,112,-182
5.93637,-547,112,-181
6.01536,-546,111,-182
6.09444,-545,110,-182
6.17344,-544,112,-182
6.25248,-546,111,-183
6.33135,-546,113,-181
6.41036,-544,112,-182
6.48943,-545,113,-182
6.56833,-546,112,-182
6.64738,-545,112,-182
6.72644,-545,111,-181
6.80534,-544,112,-183
6.88437,-547,111,-183
6.96334,-546,110,-182
