x0000,y0000,x0001,y0001,x0002,y0002
393,732.36884,393,-404.17639,393,971.8454,
394,720.18292,394,-352.79456,394,1054.59473,
395,645.60284,395,-310.46072,395,1215.53479,
396,603.22186,396,-146.36794,396,1292.10608,
397,644.72784,397,-215.80595,397,1243.026,
398,679.90784,398,-304.54379,398,1179.63342,
399,679.87982,399,-268.3255,399,1187.2771,
400,696.64392,400,-175.22015,400,1158.56921,
401,684.36884,401,-57.33639,401,1144.46863,
402,635.34985,402,90.06979,402,1123.05286,
403,566.97583,403,225.57953,403,946.53644,
404,573.71881,404,65.7991,404,604.54913,
405,505.22284,405,-31.93594,405,440.89178,
406,474.81485,406,123.04314,406,546.63977,
407,368.99384,407,356.70532,407,901.41968,
408,324.82184,408,361.15906,408,1130.63342,
409,222.51184,409,208.91716,409,1410.61401,
410,262.53885,410,-116.06011,410,1502.53772,
411,293.13483,411,-411.00705,411,1443.15222,
412,407.58084,412,-571.04352,412,1308.32776,
413,506.36084,413,-577.05121,413,1227.96436,
414,560.88483,414,-475.88953,414,1252.29236,
415,589.66882,415,-535.06641,415,1183.73413,
416,489.57184,416,-343.05042,416,1370.45679,
417,581.36487,417,-298.41934,417,1305.10339,
418,693.03186,418,-221.42303,418,1162.94934,
419,768.45184,419,-216.8542,419,897.55951,
420,700.40582,420,-450.02777,420,571.76953,
421,495.78983,421,-841.01459,421,600.08008,
422,205.20683,422,-940.11169,422,984.84528,
423,-68.15816,423,-657.96411,423,1353.16895,
424,-29.94816,424,-473.71719,424,1464.58728,
425,-83.24316,425,-389.01627,425,1492.61401,
426,-173.38817,426,-336.18082,426,1494.82056,
427,-183.51614,427,-312.73157,427,1499.27771,
428,-93.12116,428,-280.03452,428,1526.55396,
429,163.86583,429,-176.00137,429,1534.49951,
430,464.44583,430,-54.99418,430,1406.94165,
431,584.24384,431,-37.52716,431,1289.02063,
432,667.99286,432,-11.16062,432,1147.47852,
433,736.27582,433,-51.73646,433,868.78168,
434,663.17181,434,-394.08743,434,480.03241,
435,461.26883,435,-891.10431,435,763.64783,
436,97.57984,436,-420.89154,436,1488.60352,
437,-86.26817,437,-216.89304,437,1533.8927,
438,88.59084,438,-230.14363,438,1537.72388,
439,317.14883,439,-159.88521,439,1495.323,
440,476.31085,440,-144.74382,440,1412.94067,
441,602.93481,441,-214.81204,441,1301.87817,
442,628.34082,442,-388.64313,442,1229.80139,
443,421.00183,443,-549.53668,443,1324.16602,
444,235.02885,444,-478.07697,444,1443.47998,
445,261.93582,445,-516.16003,445,1421.61584,
446,231.58585,446,-549.34155,446,1411.47266,
447,145.98184,447,-432.1955,447,1483.72864,
448,104.96284,448,-356.50031,448,1515.40588,
449,126.12784,449,-281.99796,449,1531.86841,
450,128.50484,450,-118.13177,450,1547.46082,
451,25.41084,451,-87.94483,451,1550.6239,
452,-176.36516,452,-327.38104,452,1498.79993,
453,-224.69217,453,-481.56876,453,1430.32471,
454,-147.90717,454,-276.52664,454,1517.76868,
455,-117.71317,455,37.85043,455,1516.46045,
456,-176.15616,456,-92.53816,456,1525.97729,
457,-120.28915,457,-97.87883,457,1536.90564,
458,-9.45416,458,-161.51115,458,1550.10693,
459,186.99684,459,-171.22166,459,1532.37219,
460,453.98288,460,-75.61555,460,1425.2605,
461,563.56085,461,84.31168,461,1263.89673,
462,458.78183,462,254.47946,462,1203.0769,
463,251.55185,463,296.99475,463,1313.49011,
464,30.04284,464,213.00687,464,1424.96204,
465,134.83983,465,164.46889,465,1442.4856,
