Program Time [s],data 0,data 1,data 2
3.83416,-509,125,-236
3.91283,-508,124,-236
3.99181,-510,123,-236
4.07082,-509,123,-236
4.1498,-509,123,-236
4.22881,-509,124,-237
4.30779,-510,124,-236
4.38681,-509,123,-236
4.46579,-508,125,-237
4.5448,-509,124,-237
4.62379,-510,124,-236
4.70279,-509,123,-234
4.78177,-508,124,-235
4.86078,-510,122,-238
4.93978,-506,120,-243
5.01878,-503,113,-251
5.09779,-495,114,-267
5.17691,-480,107,-294
5.2558,-465,104,-319
5.33479,-453,104,-328
5.41378,-444,105,-339
5.49278,-425,100,-361
5.57177,-407,101,-376
5.65077,-385,98,-391
5.72978,-370,99,-400
5.80878,-349,97,-412
5.88775,-328,96,-421
5.96675,-305,96,-429
6.04575,-276,99,-438
6.12473,-239,95,-446
6.20373,-202,92,-451
6.28274,-160,82,-455
6.36173,-114,75,-454
6.44074,-71,68,-449
6.51971,-29,65,-441
6.59871,5,64,-430
6.67771,41,58,-419
6.75665,82,53,-402
6.83562,125,50,-382
6.91464,176,49,-354
6.99378,209,49,-335
7.07299,249,53,-304
7.15156,275,56,-283
7.23054,303,57,-256
7.30956,334,57,-226
7.38848,350,62,-207
7.46746,369,63,-184
7.54646,380,64,-169
7.62543,394,69,-149
7.70442,406,67,-130
7.78342,419,72,-107
7.86241,436,76,-77
7.94139,448,82,-53
8.02036,463,83,-22
8.09935,464,88,-12
8.17829,467,97,1
8.25727,479,115,51
8.33624,481,134,99
8.4152,481,134,111
8.4942,487,134,134
8.57325,488,131,155
8.65219,489,130,176
8.73118,483,143,212
8.81018,482,137,244
8.88918,469,139,292
8.96818,452,144,328
9.04719,435,151,360
9.1262,421,146,387
9.2052,381,162,420
9.28419,343,170,449
9.36319,312,161,474
9.44219,281,145,498
9.52119,259,127,511
9.60019,212,106,531
9.67918,153,100,542
9.7582,81,77,547
9.83721,2,70,537
9.91622,-50,65,526
9.99522,-83,70,513
10.0742,-135,75,495
10.1532,-186,73,468
10.2322,-239,83,433
10.3112,-256,100,419
10.3902,-274,132,399
10.4692,-257,162,401
10.5482,-285,162,378
10.6272,-310,167,356
10.7062,-343,158,326
10.7852,-372,168,288
10.8642,-386,175,269
10.9432,-397,180,254
11.0222,-405,168,247
11.1012,-438,154,197
11.1802,-452,162,165
11.2592,-489,145,82
11.3382,-503,142,41
11.4172,-516,126,-13
11.4963,-529,93,-68
11.5752,-532,49,-129
11.6542,-523,37,-176
11.7332,-509,23,-220
11.8122,-507,6,-227
11.8912,-503,-11,-240
11.9703,-499,-15,-245
12.0492,-493,-11,-255
12.1283,-490,-25,-262
12.2073,-491,-34,-259
12.2863,-488,-32,-260
12.3652,-492,-46,-248
12.4443,-493,-65,-242
12.5233,-498,-88,-220
12.6023,-496,-108,-215
12.6813,-492,-128,-211
12.7603,-485,-167,-203
12.8393,-469,-201,-210
12.9183,-444,-242,-217
12.9973,-413,-300,-208
13.0763,-386,-358,-151
13.1557,-292,-450,16
13.2343,-259,-471,-8
13.3133,-234,-483,-44
13.3923,-232,-467,-127
13.4715,-192,-466,-167
13.5504,-134,-483,-157
13.6294,-69,-500,-137
13.7087,-1,-506,-118
13.7874,39,-497,-122
13.8664,68,-493,-113
13.9454,91,-495,-98
14.0244,129,-485,-89
14.1034,171,-465,-87
14.1824,208,-447,-78
14.2614,260,-421,-62
14.3404,310,-382,-51
14.4194,342,-337,-60
14.4984,377,-286,-60
14.5774,422,-196,-52
14.6564,438,-130,-55
14.7354,447,-65,-54
14.8144,459,-37,-28
14.8934,461,-38,-18
14.9724,455,-22,-37
15.0515,436,-14,-72
15.1304,433,6,-76
15.2095,444,65,-37
15.2884,405,100,-91
15.3674,351,175,-123
15.4464,285,210,-172
15.5253,223,229,-211
15.6043,200,262,-202
15.6834,163,312,-177
15.7623,95,349,-175
15.8413,56,371,-164
15.9203,-11,383,-171
15.9993,-31,391,-167
16.0783,-53,398,-161
16.1573,-90,395,-167
16.2363,-134,388,-165
16.3153,-202,366,-164
16.3943,-244,336,-191
16.4733,-280,318,-191
16.5523,-305,301,-190
16.6313,-320,277,-213
16.7104,-332,253,-234
16.7892,-376,217,-221
16.8682,-387,207,-215
16.9472,-396,219,-191
17.0263,-364,263,-178
17.1053,-364,250,-199
17.1842,-388,228,-194
17.2633,-414,201,-189
17.3423,-443,167,-170
17.4213,-465,113,-178
17.5002,-457,115,-201
17.5792,-466,85,-206
17.6583,-475,42,-213
17.7372,-470,31,-221
17.8162,-480,35,-197
17.8953,-476,-47,-228
17.9742,-447,-76,-276
18.0532,-446,-122,-261
18.1323,-427,-202,-249
18.2113,-350,-308,-254
18.2903,-259,-383,-248
18.3693,-159,-448,-204
18.4483,-50,-488,-146
18.5273,39,-493,-111
18.6063,47,-480,-132
18.6853,155,-458,-100
18.7643,251,-409,-81
18.8433,320,-350,-67
18.9223,383,-275,-42
19.0013,443,-155,-10
19.0803,459,-69,-2
19.1592,435,24,-58
19.2382,429,79,-49
19.3172,435,119,-12
19.3962,422,196,40
19.4752,324,330,51
19.5542,262,358,-12
19.6332,215,345,-104
19.7122,131,385,-118
19.7913,80,390,-120
19.8702,36,409,-122
19.9492,-4,423,-114
20.0282,-26,435,-92
20.1072,-45,441,-68
20.1862,-61,440,-71
20.2652,-98,427,-101
20.3442,-192,399,-108
20.4232,-230,364,-165
20.5022,-284,325,-183
20.5812,-332,285,-195
20.6602,-386,225,-209
20.7393,-437,145,-201
20.8182,-448,102,-218
20.8972,-461,80,-209
20.9762,-480,57,-175
21.0552,-478,52,-179
21.1342,-486,50,-164
21.2132,-486,54,-166
21.2925,-484,44,-183
21.3712,-480,12,-201
21.4502,-469,32,-218
21.5292,-462,28,-231
21.6082,-459,22,-248
21.6872,-461,-52,-255
21.7662,-471,-100,-226
21.8453,-467,-108,-232
21.9242,-459,-123,-236
22.0032,-460,-138,-230
22.0823,-455,-166,-222
22.1612,-452,-200,-205
22.2403,-443,-221,-198
22.3194,-430,-251,-192
22.3983,-425,-266,-189
22.4773,-440,-274,-134
22.5563,-452,-243,-136
22.6353,-460,-230,-125
22.7143,-463,-227,-137
22.7933,-472,-202,-138
22.8722,-452,-242,-158
22.9512,-418,-319,-94
23.0302,-364,-388,-54
23.1093,-354,-392,25
23.1882,-355,-372,78
23.2672,-384,-316,114
23.3462,-382,-278,168
23.4252,-400,-219,187
23.5042,-382,-216,214
23.5832,-402,-172,208
23.6622,-417,-129,203
23.7412,-427,-76,198
23.8202,-421,-37,208
23.8992,-414,16,222
23.9782,-430,51,185
24.0572,-436,82,163
24.1362,-413,92,166
24.2152,-453,143,48
24.2942,-457,177,-71
24.3732,-449,153,-74
24.4522,-453,146,-66
24.5312,-474,152,-58
24.6102,-486,118,-94
24.6892,-488,95,-113
24.7682,-491,79,-119
24.8472,-483,97,-146
24.9262,-477,110,-157
25.0052,-471,111,-168
25.0842,-475,103,-169
25.1632,-482,77,-170
25.2422,-487,42,-180
25.3215,-492,-6,-186
25.4003,-491,-42,-186
25.4792,-500,-71,-160
25.5582,-501,-99,-130
25.6373,-497,-133,-119
25.7163,-485,-178,-117
25.7953,-476,-208,-102
25.8743,-472,-219,-91
25.9535,-472,-223,-86
26.0323,-465,-239,-89
26.1113,-467,-235,-59
26.1903,-460,-238,3
26.2693,-446,-252,37
26.3483,-426,-261,90
26.4273,-424,-246,116
26.5063,-414,-227,155
26.5853,-422,-202,159
26.6643,-441,-231,95
26.7433,-439,-250,81
26.8223,-430,-207,149
26.9013,-437,-202,134
26.9803,-443,-204,123
27.0593,-446,-191,114
27.1383,-454,-183,104
27.2173,-470,-189,47
27.2962,-483,-169,12
27.3752,-499,-136,-70
27.4542,-479,-98,-209
27.5333,-375,-57,-348
27.6123,-350,-7,-364
27.6915,-275,45,-391
27.7703,-213,111,-387
27.8493,-238,164,-356
27.9282,-350,149,-304
28.0072,-347,60,-345
28.0862,-410,50,-296
28.1652,-312,53,-380
28.2442,-396,52,-324
28.3232,-431,2,-299
28.4022,-448,-76,-278
28.4812,-435,-120,-289
28.5602,-410,-153,-308
28.6392,-367,-205,-326
28.7182,-346,-251,-316
28.7973,-322,-278,-318
28.8763,-301,-322,-295
28.9553,-278,-373,-254
29.0343,-246,-429,-192
29.1133,-188,-476,-132
29.1923,-92,-524,-62
29.2715,-17,-510,-91
29.3503,80,-481,-150
29.4293,168,-456,-127
29.5083,119,-411,-213
29.5875,79,-355,-282
29.6663,88,-355,-277
29.7453,114,-293,-308
29.8243,43,-170,-382
29.9033,5,-102,-400
29.9823,-146,107,-394
30.0613,-55,299,-293
30.1403,17,390,-184
30.2192,62,363,-196
30.2982,85,325,-221
30.3776,102,311,-224
30.4562,126,344,-176
30.5352,134,378,-115
30.6142,136,406,-57
30.6932,106,431,-11
30.7722,43,445,-3
30.8516,9,439,-48
30.9302,-4,419,-109
31.0092,9,377,-179
31.0882,-14,399,-142
31.1672,-112,433,-41
31.2462,-251,387,-21
31.3252,-383,276,-53
31.4042,-435,197,-7
31.4832,-440,175,-61
31.5623,-435,147,-120
31.6413,-429,103,-162
31.7204,-421,21,-209
31.7992,-351,19,-289
31.8782,-305,81,-310
31.9576,-295,182,-289
32.0362,-199,290,-252
32.1152,-215,330,-198
32.1942,-253,311,-188
32.2732,-288,267,-207
32.3522,-296,219,-233
32.4312,-304,166,-261
32.5102,-282,124,-294
32.5892,-209,127,-324
32.6682,-94,124,-338
32.7472,24,137,-315
32.8262,61,183,-278
32.9055,-41,204,-294
32.9842,-90,195,-302
33.0632,-94,234,-281
33.1422,-58,294,-236
33.2212,-89,299,-239
33.3002,-55,304,-238
33.3793,-15,323,-218
33.4582,124,328,-161
33.5377,233,274,-136
33.6162,269,190,-174
33.6952,295,142,-178
